,title,price,address,no_bedrooms
100,5 Bedroom House to Rent in Lavington,275000.0,Lavington,5
101,Commercial Property to Rent in Westlands,330000.0,"Lower Kabete, Westlands",
102,3 Bedroom Apartment / Flat to Rent in Kilimani,130000.0,Kilimani,3
103,3 Bedroom Apartment / Flat to Rent in Westlands,105000.0,Westlands,3
104,4 Bedroom Townhouse to Rent in Runda,200000.0,"Ruaka Rd Kitisuru, Runda",4
105,2 Bedroom Apartment / Flat to Rent in Langata,30000.0,Langata,2
106,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,,2
107,3 Bedroom Apartment / Flat to Rent in Westlands,105000.0,Westlands,3
108,2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000.0,Lower Kabete,2
109,2 Bedroom Apartment / Flat to Rent in Riverside,160000.0,"Riverside Dr Nairobi, Riverside",2
110,3 Bedroom Apartment / Flat to Rent in Westlands,105000.0,Westlands,3
111,3 Bedroom Apartment / Flat to Rent in Riverside,330000.0,"Riverside Dr Nairobi, Riverside",3
112,3 Bedroom Apartment / Flat to Rent in Kilimani,80000.0,Kilimani,3
113,1 Bedroom Apartment / Flat to Rent in Riverside,150000.0,"Riverside drive, Riverside",1
114,4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000.0,"Ndemi Rd Kilimani, Kileleshwa",4
115,5 Bedroom Townhouse to Rent in Lavington,400000.0,Lavington,5
116,2 Bedroom Apartment / Flat to Rent in Riverside,250000.0,Riverside,2
117,2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000.0,"Kileleshwa, Kileleshwa",2
118,5 Bedroom Townhouse to Rent in Karen,350000.0,"Nandi Rd Karen, Karen",5
119,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,Kilimani,2
120,2 Bedroom Apartment / Flat to Rent in Kilimani,215000.0,Kilimani,2
121,3 Bedroom Apartment / Flat to Rent in Westlands,100000.0,"Brookside drive westland, Westlands",3
122,5 Bedroom House to Rent in Lavington,275000.0,Lavington,5
123,Commercial Property to Rent in Westlands,330000.0,"Lower Kabete, Westlands",
124,3 Bedroom Apartment / Flat to Rent in Kilimani,130000.0,Kilimani,3
125,4 Bedroom Townhouse to Rent in Runda,200000.0,"Ruaka Rd Kitisuru, Runda",4
126,2 Bedroom Apartment / Flat to Rent in Langata,30000.0,Langata,2
127,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,,2
128,2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000.0,Lower Kabete,2
129,2 Bedroom Apartment / Flat to Rent in Riverside,160000.0,"Riverside Dr Nairobi, Riverside",2
130,3 Bedroom Apartment / Flat to Rent in Westlands,105000.0,Westlands,3
131,3 Bedroom Apartment / Flat to Rent in Riverside,330000.0,"Riverside Dr Nairobi, Riverside",3
132,3 Bedroom Apartment / Flat to Rent in Kilimani,80000.0,Kilimani,3
133,1 Bedroom Apartment / Flat to Rent in Riverside,150000.0,"Riverside drive, Riverside",1
134,4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000.0,"Ndemi Rd Kilimani, Kileleshwa",4
135,5 Bedroom Townhouse to Rent in Lavington,400000.0,Lavington,5
136,2 Bedroom Apartment / Flat to Rent in Riverside,250000.0,Riverside,2
137,2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000.0,"Kileleshwa, Kileleshwa",2
138,5 Bedroom Townhouse to Rent in Karen,350000.0,"Nandi Rd Karen, Karen",5
139,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,Kilimani,2
140,2 Bedroom Apartment / Flat to Rent in Kilimani,215000.0,Kilimani,2
141,2 Bedroom Apartment / Flat to Rent in Kilimani,215000.0,Kilimani,2
142,3 Bedroom Apartment / Flat to Rent in Westlands,100000.0,"Brookside drive westland, Westlands",3
143,5 Bedroom House to Rent in Lavington,275000.0,Lavington,5
144,Commercial Property to Rent in Westlands,330000.0,"Lower Kabete, Westlands",
145,3 Bedroom Apartment / Flat to Rent in Kilimani,130000.0,Kilimani,3
146,4 Bedroom Townhouse to Rent in Runda,200000.0,"Ruaka Rd Kitisuru, Runda",4
147,2 Bedroom Apartment / Flat to Rent in Langata,30000.0,Langata,2
148,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,,2
149,2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000.0,Lower Kabete,2
150,2 Bedroom Apartment / Flat to Rent in Riverside,160000.0,"Riverside Dr Nairobi, Riverside",2
151,3 Bedroom Apartment / Flat to Rent in Westlands,105000.0,Westlands,3
152,3 Bedroom Apartment / Flat to Rent in Riverside,330000.0,"Riverside Dr Nairobi, Riverside",3
153,3 Bedroom Apartment / Flat to Rent in Kilimani,80000.0,Kilimani,3
154,1 Bedroom Apartment / Flat to Rent in Riverside,150000.0,"Riverside drive, Riverside",1
155,4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000.0,"Ndemi Rd Kilimani, Kileleshwa",4
156,5 Bedroom Townhouse to Rent in Lavington,400000.0,Lavington,5
157,2 Bedroom Apartment / Flat to Rent in Riverside,250000.0,Riverside,2
158,2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000.0,"Kileleshwa, Kileleshwa",2
159,5 Bedroom Townhouse to Rent in Karen,350000.0,"Nandi Rd Karen, Karen",5
160,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,Kilimani,2
161,2 Bedroom Apartment / Flat to Rent in Kilimani,215000.0,Kilimani,2
162,3 Bedroom Apartment / Flat to Rent in Westlands,100000.0,"Brookside drive westland, Westlands",3
163,5 Bedroom House to Rent in Lavington,275000.0,Lavington,5
164,3 Bedroom Apartment / Flat to Rent in Riverside,330000.0,"Riverside Dr Nairobi, Riverside",3
165,Commercial Property to Rent in Westlands,330000.0,"Lower Kabete, Westlands",
166,3 Bedroom Apartment / Flat to Rent in Kilimani,130000.0,Kilimani,3
167,4 Bedroom Townhouse to Rent in Runda,200000.0,"Ruaka Rd Kitisuru, Runda",4
168,2 Bedroom Apartment / Flat to Rent in Langata,30000.0,Langata,2
169,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,,2
170,2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000.0,Lower Kabete,2
171,2 Bedroom Apartment / Flat to Rent in Riverside,160000.0,"Riverside Dr Nairobi, Riverside",2
172,3 Bedroom Apartment / Flat to Rent in Westlands,105000.0,Westlands,3
173,3 Bedroom Apartment / Flat to Rent in Riverside,330000.0,"Riverside Dr Nairobi, Riverside",3
174,3 Bedroom Apartment / Flat to Rent in Kilimani,80000.0,Kilimani,3
175,1 Bedroom Apartment / Flat to Rent in Riverside,150000.0,"Riverside drive, Riverside",1
176,4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000.0,"Ndemi Rd Kilimani, Kileleshwa",4
177,5 Bedroom Townhouse to Rent in Karen,350000.0,"Nandi Rd Karen, Karen",5
178,5 Bedroom Townhouse to Rent in Lavington,400000.0,Lavington,5
179,2 Bedroom Apartment / Flat to Rent in Riverside,250000.0,Riverside,2
180,2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000.0,"Kileleshwa, Kileleshwa",2
181,5 Bedroom Townhouse to Rent in Karen,350000.0,"Nandi Rd Karen, Karen",5
182,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,Kilimani,2
183,2 Bedroom Apartment / Flat to Rent in Kilimani,215000.0,Kilimani,2
184,3 Bedroom Apartment / Flat to Rent in Westlands,100000.0,"Brookside drive westland, Westlands",3
185,5 Bedroom House to Rent in Lavington,275000.0,Lavington,5
186,Commercial Property to Rent in Westlands,330000.0,"Lower Kabete, Westlands",
187,3 Bedroom Apartment / Flat to Rent in Kilimani,130000.0,Kilimani,3
188,4 Bedroom Townhouse to Rent in Runda,200000.0,"Ruaka Rd Kitisuru, Runda",4
189,2 Bedroom Apartment / Flat to Rent in Langata,30000.0,Langata,2
190,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,,2
191,2 Bedroom Apartment / Flat to Rent in Lower Kabete,30000.0,Lower Kabete,2
192,2 Bedroom Apartment / Flat to Rent in Riverside,160000.0,"Riverside Dr Nairobi, Riverside",2
193,3 Bedroom Apartment / Flat to Rent in Westlands,105000.0,Westlands,3
194,3 Bedroom Apartment / Flat to Rent in Riverside,330000.0,"Riverside Dr Nairobi, Riverside",3
195,3 Bedroom Apartment / Flat to Rent in Kilimani,80000.0,Kilimani,3
196,1 Bedroom Apartment / Flat to Rent in Riverside,150000.0,"Riverside drive, Riverside",1
197,4 Bedroom Apartment / Flat to Rent in Kileleshwa,150000.0,"Ndemi Rd Kilimani, Kileleshwa",4
198,5 Bedroom Townhouse to Rent in Lavington,400000.0,Lavington,5
199,2 Bedroom Apartment / Flat to Rent in Riverside,250000.0,Riverside,2
200,2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000.0,"Kileleshwa, Kileleshwa",2
